"82,Ayy Macarena - Tyga - Best Music.mp3,unknown,ayy_macarena_tyga_best_musicmp3,bpm=102,key=A#,scale=minor,energy=0.286875456572,happy=0.71137828186814,sad=0.57657074928284,aggressiveness=0.25420282408595,danceability=0.93941448132197,relaxed=0.48830663661162"
"83,5. African Queen Prod By. 2Kriss.mp3,unknown,5_african_queen_prod_by_2krissmp3,bpm=102,key=F,scale=minor,energy=0.145601794124,happy=0.79224332474405,sad=0.58188161626458,aggressiveness=0.19798388087656,danceability=0.93871489912271,relaxed=0.54093282297254"
"84,bad_boy_mix_part2_Beat_98BPM_C#min.mp3,uk drill,bad_boy_mix_part2_beat_98bpm_cminmp3,bpm=98,key=F#,scale=major,energy=0.584733963013,happy=0.23949851807047,sad=0.94821142554283,aggressiveness=0.11225065402687,danceability=0.89012996703386,relaxed=0.80630511641502"
"85,01.Kuyashisa ft Tylericu,Dj Thabzin & Kheada(2).mp3,afro soul,01kuyashisa_ft_tylericudj_thabzin_kheada2mp3,bpm=112,key=A#,scale=minor,energy=0.876401722431,happy=0.63284819722176,sad=0.82750476996104,aggressiveness=0.12451409809291,danceability=0.91509152688086,relaxed=0.49604701598485"
"86,DJ-Tunez-ft-Oxlade-Causing-Trouble_IntoNaija.com_.mp3,unknown,dj_tunez_ft_oxlade_causing_trouble_intonaijacommp3,bpm=106,key=D#,scale=minor,energy=0.179910972714,happy=0.66461712727323,sad=0.72387201339006,aggressiveness=0.051299164711963,danceability=0.9905810803175,relaxed=0.65107788518071"
"87,GoldLink_-_Fall_In_Love_(Audio)_ft._Ciscero.mp3,alternative r&b,goldlink_fall_in_love_audio_ft_cisceromp3,bpm=105,key=C#,scale=major,energy=0.397171527147,happy=0.55174474976957,sad=0.536685179919,aggressiveness=0.39849232602865,danceability=0.99933666735888,relaxed=0.47310919314623"
"88,No_Stress.mp3,uk drill,no_stressmp3,bpm=90,key=B,scale=minor,energy=0.253990292549,happy=0.64647342264652,sad=0.75822104513645,aggressiveness=0.28664018015843,danceability=0.88718211650848,relaxed=0.62970227748156"
"89,Drank w_ Cupidon - CHAMOS?.mp3,uk drill,drank_w_cupidon_chamosmp3,bpm=86,key=A,scale=minor,energy=0.478446036577,happy=0.49373416815485,sad=0.93788713216782,aggressiveness=0.18579600671572,danceability=0.80604159832001,relaxed=0.66150064979281"
"90,bad_boy_mix_part2_98BPM_C#min.mp3,uk drill,bad_boy_mix_part2_98bpm_cminmp3,bpm=98,key=F#,scale=major,energy=0.393305242062,happy=0.4897562901635,sad=0.8878875374794,aggressiveness=0.068416005559266,danceability=0.84006744325161,relaxed=0.70458646714687"
"91,EKANY  Secret Gems - BOASTY  SHE WROTE (NCII VOL 2  COMING SOON).mp3,uk drill,ekany_secret_gems_boasty_she_wrote_ncii_vol_2_coming_soonmp3,bpm=101,key=A#,scale=major,energy=0.119508750737,happy=0.82870678305626,sad=0.35870613455772,aggressiveness=0.22707153558731,danceability=0.99999971389771,relaxed=0.49024645984173"
"92,Meek - Meek x Paul Mond ~ Masivo.mp3,uk drill,meek_meek_x_paul_mond_masivomp3,bpm=109,key=F,scale=minor,energy=0.304746419191,happy=0.60459945454601,sad=0.47005448964509,aggressiveness=0.18123876591298,danceability=0.98985040729696,relaxed=0.48509854891083"
"93,Megan_Thee_Stallion_-_Savage_Remix_(feat._Beyoncé)_[Official_Audio].mp3,dance pop,megan_thee_stallion_savage_remix_feat_beyonce_official_audiomp3,bpm=166,key=A#,scale=major,energy=0.232656508684,happy=0.69551900923252,sad=0.47917772531509,aggressiveness=0.32711050100625,danceability=0.94597803354263,relaxed=0.49716884195805"
